,client_id,report_date,bucketRatio1,bucketRatio2,bucketRatio3,invested_amount,total_upl
219,9,2021-03-26,9.977365365355952,8.731328313665127,43.41759855937443,20594754.147381,35.279306999989785
220,9,2021-04-02,10.07653916270194,8.818116654377537,42.85517637592844,20392059.557381,-21320.119263000557
221,9,2021-04-09,10.377707161807336,9.081672872022876,41.147229638243374,19800268.357381,8394.778676999382
222,9,2021-04-16,10.730762263921957,9.3906362001657,39.14502717426677,19148815.497381,41061.607526999534
223,9,2021-04-23,10.571594320634551,9.479575508683359,38.829465553727374,18969157.40955742,-5976.415503000387
224,9,2021-04-30,10.43934703573191,9.360989032033764,39.59468949736403,19209461.669557422,-22742.332143000673
225,9,2021-05-07,10.492944817487306,9.409050299221862,39.284556053375105,19111340.06955742,-6064.439163000567
226,9,2021-05-14,10.447387455786224,9.368198897141585,39.54816512488268,19194677.86437224,-28404.314073000573
227,9,2021-05-21,10.425507568212039,9.348579146317801,39.674768963049715,19234961.50437224,-22786.336473000585
228,9,2021-05-28,10.437883411757474,9.359676596694195,39.60315848113593,19212155.264372237,-14315.3621430007
229,9,2021-06-04,10.401394292287792,9.326956710481472,39.81429588120413,19279553.404372714,-17168.36214313865
230,9,2021-06-11,10.388625013129543,9.315506465390646,39.88818290400437,19303251.054365437,21893.40785713714
231,9,2021-06-18,10.402658233753455,9.328090090007674,39.80698232256591,19277210.904365536,2450.5578569996765
232,9,2021-06-25,10.41225171944984,9.336692593025866,39.751471428990925,19259449.554365538,13642.507856861455
233,9,2021-07-02,10.002711808139638,8.969457113179008,42.12119679794744,20047987.044364974,-270.41214300064536
234,9,2021-07-09,9.983434196572826,8.952170829868082,42.23274305735013,20086698.904365055,19480.537857000134
235,9,2021-07-16,9.972326758504694,8.942210761908479,42.29701415046521,20109071.994364657,25010.49785699998
236,9,2021-07-23,9.872414617829977,8.85261929130962,42.8751368874316,20312582.53436066,27819.487856999513
237,9,2021-07-30,9.95382428946883,8.92561955087608,42.40407519397219,20146451.344360754,36246.457856999485
238,9,2021-08-06,9.750028480812837,8.742875331043804,43.58330116077499,20567553.944353398,30672.487856861895
239,9,2021-08-13,9.730157004770414,8.725056527947524,43.69828370483449,20609558.164352734,16715.55785713869
240,9,2021-08-20,9.715163889844748,8.711612163669301,43.785038533406265,20641364.264345378,25230.517857137485
241,9,2021-08-27,9.702789246692525,8.700515789688552,43.856642069471405,20667689.634344876,22289.52785699966
242,9,2021-09-03,9.74305459013118,8.736621825536407,43.623654262419656,20582275.803034376,19392.517856999533
243,9,2021-09-10,10.654163977216392,5.312890282735537e-06,47.90530244322698,18822146.643034257,19348.50785686216
244,9,2021-09-17,10.675607868844022,5.323583664562219e-06,47.80045019473799,18784338.953039337,30540.457857000172
245,9,2021-09-24,10.824105333750346,5.397634593382052e-06,47.07435563313883,18526633.893040538,25010.49785699998
246,9,2021-10-01,10.805087589710629,5.388151053638883e-06,47.1673449682082,18559242.123040535,-30861.202143138387
247,9,2021-10-08,10.56827847849836,5.270061935758457e-06,48.325248962709544,18975109.063041437,-42097.162143138594
248,9,2021-10-15,10.873121390858687,5.422077330894428e-06,46.834686272319445,18443115.783356775,-44950.19214300065
249,9,2021-10-22,10.852953607302664,5.412020303284543e-06,46.93329885111852,18477388.183357373,-61760.06214313836
250,9,2021-10-29,10.829141653214531,5.4001460445667005e-06,47.0497299994573,18518017.693357375,-69966.98214300013
251,9,2021-11-05,11.056576100734834,5.382470551936206e-06,46.96016435910384,18578829.00335192,-65701.79214300065
252,9,2021-11-12,10.790463733852985,5.38085860517945e-06,47.238849907464505,18584394.67332278,-64437.02214299992
253,9,2021-11-19,10.554536621564809,5.263209311908746e-06,48.39244127196558,18999814.38582274,-75540.95214286249
254,9,2021-11-26,10.785067259738007,5.241459393333503e-06,48.33155995517946,19078655.865804818,-104388.53214286249
255,9,2021-12-03,10.727532182365461,5.2134977900835835e-06,48.607195481978174,19180980.605804916,-138540.56214300045
256,9,2021-12-10,10.823749184801152,5.26025851016714e-06,48.14624495641219,19010472.547445696,-118722.71214299988
257,9,2021-12-17,10.796295901654489,5.246916426584212e-06,48.27776646482151,19058813.190417226,-119600.66214300015
258,9,2021-12-24,10.809501360930335,5.253334177804277e-06,48.214502558864645,19035529.93497108,-101669.3621431383
259,9,2021-12-31,10.841156748474976,5.268718451671059e-06,48.062849865927674,18979947.574971177,-129113.66214286257
260,9,2022-01-07,12.73205331740875,6.187679580458751e-06,39.004058330372146,16161147.1149555,-158834.6921428618
261,9,2022-01-14,13.6911262475579,6.499038093120765e-06,35.61638962417633,15386892.424257377,-162432.74214299984
