,Date,^GSPC,000001.SS,^FTSE,^GDAXI,^HSI,^TWII,^MERV,^ISEQ,^STI,^GSPTSE,^BSESN,^FCHI,^AEX,^KS11,^BVSP,^IBEX,BSX,0322.HK,^JKSE,^SET.BK,^AXJO,^BFX,^SSMI,^OMXSBCAPPI,^N225,IMOEX.ME,^ATX,^OMXHBCAPPI,^OSEAX,^N100,^BIT40P,JSE.JO
361,2020-08-19,3374.85009765625,3408.12890625,6112.0,12977.330078125,25178.91015625,12778.6396484375,47471.6015625,6379.02978515625,2561.0400390625,16577.400390625,38614.7890625,4977.22998046875,560.22998046875,2360.5400390625,100854.0,7094.2998046875,39.349998474121094,12.755030632019043,5272.81005859375,1308.6700439453125,6167.60009765625,3375.60009765625,10310.009765625,696.260009765625,23110.609375,3056.5400390625,2218.889892578125,187.58999633789062,945.780029296875,985.6699829101562,1998.933349609375,11125.66796875
362,2020-08-20,3385.510009765625,3363.89892578125,6013.2998046875,12830.0,24791.390625,12362.6396484375,47737.16015625,6283.33984375,2527.919921875,16606.80078125,38220.390625,4911.240234375,552.4400024414062,2274.219970703125,101468.0,6993.2998046875,38.86000061035156,12.47367000579834,5272.81005859375,1296.7900390625,6120.0,3337.6201171875,10229.919921875,687.3499755859375,22880.619140625,2993.68994140625,2199.909912109375,186.13999938964844,939.3400268554688,972.5,1975.5263671875,11351.7919921875
363,2020-08-21,3397.159912109375,3380.68310546875,6001.89990234375,12764.7998046875,25113.83984375,12607.83984375,47411.28125,6398.47998046875,2528.5400390625,16517.900390625,38434.71875,4896.330078125,551.3699951171875,2304.590087890625,101521.0,6982.10009765625,38.43000030517578,12.436155319213867,5272.81005859375,1299.260009765625,6111.2001953125,3302.919921875,10218.2001953125,686.9400024414062,22920.30078125,2995.610107421875,2194.89990234375,186.3800048828125,938.5599975585938,971.8200073242188,1962.7535400390625,11818.9287109375
924,2020-08-22,3397.159912109375,3380.68310546875,6001.89990234375,12764.7998046875,25113.83984375,12607.83984375,47411.28125,6398.47998046875,2528.5400390625,16517.900390625,38434.71875,4896.330078125,551.3699951171875,2304.590087890625,101521.0,6982.10009765625,38.43000030517578,12.436155319213867,5272.81005859375,1299.260009765625,6111.2001953125,3302.919921875,10218.2001953125,686.9400024414062,22920.30078125,2995.610107421875,2194.89990234375,186.3800048828125,938.5599975585938,971.8200073242188,1962.7535400390625,11818.9287109375
925,2020-08-23,3397.159912109375,3380.68310546875,6001.89990234375,12764.7998046875,25113.83984375,12607.83984375,47411.28125,6398.47998046875,2528.5400390625,16517.900390625,38434.71875,4896.330078125,551.3699951171875,2304.590087890625,101521.0,6982.10009765625,38.43000030517578,12.436155319213867,5272.81005859375,1299.260009765625,6111.2001953125,3302.919921875,10218.2001953125,686.9400024414062,22920.30078125,2995.610107421875,2194.89990234375,186.3800048828125,938.5599975585938,971.8200073242188,1962.7535400390625,11818.9287109375
364,2020-08-24,3431.280029296875,3385.637939453125,6104.7001953125,13066.5400390625,25551.580078125,12647.1298828125,46736.73828125,6460.8798828125,2538.610107421875,16626.599609375,38799.078125,5007.89013671875,560.989990234375,2329.830078125,102298.0,7109.10009765625,38.939998626708984,12.71751594543457,5277.041015625,1317.1099853515625,6129.60009765625,3368.989990234375,10308.3896484375,698.0,22985.509765625,3029.419921875,2247.2099609375,188.8300018310547,955.3499755859375,992.27001953125,2004.7645263671875,11779.845703125
365,2020-08-25,3443.6201171875,3373.577880859375,6037.0,13061.6201171875,25486.220703125,12758.25,46579.2890625,6469.009765625,2559.030029296875,16617.5,38843.87890625,5008.27001953125,559.8099975585938,2366.72998046875,102118.0,7108.39990234375,39.63999938964844,14.293137550354004,5338.88818359375,1315.989990234375,6161.39990234375,3369.52001953125,10231.25,696.760009765625,23296.76953125,3029.050048828125,2234.56005859375,189.22999572753906,952.22998046875,992.3699951171875,1999.7596435546875,11657.943359375
366,2020-08-26,3478.72998046875,3329.739013671875,6045.60009765625,13190.150390625,25491.7890625,12833.2900390625,45831.69921875,6579.6201171875,2542.080078125,16790.0,39073.921875,5048.43017578125,566.22998046875,2369.320068359375,100627.0,7123.0,39.349998474121094,14.36816692352295,5340.328125,1322.550048828125,6116.39990234375,3400.3798828125,10309.650390625,703.0,23290.859375,3051.969970703125,2248.679931640625,191.3000030517578,949.219970703125,1003.4400024414062,2001.1575927734375,11647.7080078125
367,2020-08-27,3484.550048828125,3350.110107421875,6000.0,13096.3603515625,25281.150390625,12797.3095703125,44254.91015625,6536.85009765625,2519.81005859375,16731.5,39113.46875,5015.97021484375,562.4099731445312,2344.449951171875,100624.0,7090.7001953125,40.779998779296875,14.405681610107422,5371.47216796875,1326.81005859375,6126.2001953125,3370.25,10240.4599609375,700.010009765625,23208.859375,3012.010009765625,2228.47998046875,190.5399932861328,946.3200073242188,996.8400268554688,1975.405517578125,11200.1123046875
368,2020-08-28,3508.010009765625,3403.806884765625,5963.60009765625,13033.2001953125,25422.060546875,12728.849609375,46396.578125,6505.009765625,2539.6298828125,16705.80078125,39467.30859375,5002.93994140625,556.7999877929688,2353.800048828125,102143.0,7133.0,41.029998779296875,14.161835670471191,5346.6591796875,1323.31005859375,6073.7998046875,3378.60009765625,10164.490234375,693.7999877929688,22882.650390625,2980.169921875,2253.260009765625,190.16000366210938,940.8599853515625,991.5399780273438,1973.4693603515625,11221.5146484375
